"Self_Other","Optimal_choice_proportion","Proportion_selecting_Me"
"2Other",0.571428571,0.375
"2Other",0.8,0.6
"2Other",1,0.916666667
"2Other",0.857142857,0.307692308
"2Other",0.857142857,0.466666667
"2Other",0.333333333,0.230769231
"2Other",0.8,0.625
"2Other",0.7,0.133333333
"2Other",0.444444444,0.5
"2Other",0.666666667,0.625
"2Other",0.6,0.133333333
"2Other",0.571428571,0.4
"2Other",0.4,0.529411765
"2Other",0.5,0.357142857
"2Other",1,0.5
"2Other",0.8,0.333333333
"2Other",0.285714286,0.571428571
"2Other",0.285714286,0.777777778
"2Other",0.875,0.142857143
"2Other",0.5,0.588235294
"2Other",0.6,0.461538462
"2Other",0.5,0.35
"2Other",0.9,0.416666667
"2Other",0.833333333,0.285714286
"2Other",0.8,0.583333333
"2Other",0.375,0.416666667
"2Other",0.25,0.666666667
"2Other",0,0.555555556
"2Other",0.6,0.625
"2Other",0.571428571,0.4
"2Other",1,0.6
"2Other",0.857142857,0.384615385
"2Other",1,0.411764706
"2Other",1,0.461538462
"2Other",1,0.285714286
"2Other",0.666666667,0.461538462
"2Other",0.875,0.272727273
"2Other",0.285714286,0.736842105
"2Other",0.5,0.555555556
"2Other",0.666666667,0.266666667
"2Other",0.625,0.55
"2Other",0.555555556,0.75
"2Other",0.5,0.466666667
"2Other",0.888888889,0.375
"2Other",0.8,0.058823529
"2Other",1,0.4
"2Other",0.777777778,0.4
"2Other",0.6,0.277777778
"2Other",1,0.6
"2Other",0.75,0.6
"2Other",0.666666667,0.285714286
"2Other",0.4,0.368421053
"2Other",0.5,0.533333333
"2Other",0.666666667,0.538461538
"2Other",0.571428571,0.307692308
"2Other",0.4,0.625
